,y2_hhid,sourceid,ag12a_0b,ag12a_01,ag12a_02_1,ag12a_02_2,ag12a_02_3,ag12a_02_4,ag12a_02_5,ag12a_02_6,ag12a_03,ag12a_04,ag12a_05,ag12a_06
148,0103013004068501,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
149,0103013004068501,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
150,0103013004073901,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
151,0103013004073901,NGO,NGO,NO,,,,,,,,,,
152,0103013004073901,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
153,0103013004073901,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
154,0103013004073901,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
155,0103013004074501,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
156,0103013004074501,NGO,NGO,NO,,,,,,,,,,
157,0103013004074501,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
158,0103013004074501,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
159,0103013004074501,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
160,0103013301006801,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
161,0103013301006801,NGO,NGO,NO,,,,,,,,,,
162,0103013301006801,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
163,0103013301006801,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
164,0103013301006801,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
165,0103013301009201,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
166,0103013301009201,NGO,NGO,NO,,,,,,,,,,
167,0103013301009201,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
168,0103013301009201,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
169,0103013301009201,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
170,0103013301017501,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
171,0103013301017501,NGO,NGO,NO,,,,,,,,,,
172,0103013301017501,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
173,0103013301017501,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
174,0103013301017501,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
175,0103013301018801,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
176,0103013301018801,NGO,NGO,NO,,,,,,,,,,
177,0103013301018801,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
178,0103013301018801,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
179,0103013301018801,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
180,0103013301018803,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
181,0103013301018803,NGO,NGO,NO,,,,,,,,,,
182,0103013301018803,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
183,0103013301018803,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
184,0103013301018803,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
185,0103013301030001,GOVERNMENT EXTENSION,SERIKALI,YES,YES,YES,YES,NO,NO,NO,GOOD,NO,,1.0
186,0103013301030001,NGO,NGO,NO,,,,,,,,,,
187,0103013301030001,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
188,0103013301030001,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
189,0103013301030001,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
190,0103013301032201,GOVERNMENT EXTENSION,SERIKALI,YES,YES,NO,NO,NO,YES,YES,GOOD,NO,,0.0
191,0103013301032201,NGO,NGO,NO,,,,,,,,,,
192,0103013301032201,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
193,0103013301032201,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
194,0103013301032201,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
195,0103013301041102,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
196,0103013301041102,NGO,NGO,NO,,,,,,,,,,
197,0103013301041102,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
198,0103013301041102,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
199,0103013301041102,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
200,0103013301065201,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
201,0103013301065201,NGO,NGO,NO,,,,,,,,,,
202,0103013301065201,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
203,0103013301065201,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
204,0103013301065201,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
205,0104017304000401,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
206,0104017304000401,NGO,NGO,NO,,,,,,,,,,
207,0104017304000401,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
208,0104017304000401,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
209,0104017304000401,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
210,0104017304001701,GOVERNMENT EXTENSION,SERIKALI,YES,YES,NO,NO,NO,YES,YES,GOOD,NO,,0.0
211,0104017304001701,NGO,NGO,NO,,,,,,,,,,
212,0104017304001701,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
213,0104017304001701,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
214,0104017304001701,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
215,0104017304002201,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
216,0104017304002201,NGO,NGO,NO,,,,,,,,,,
217,0104017304002201,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
218,0104017304002201,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
219,0104017304002201,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
220,0104017304003401,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
221,0104017304003401,NGO,NGO,NO,,,,,,,,,,
222,0104017304003401,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
223,0104017304003401,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
224,0104017304003401,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
225,0104017304003407,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
226,0104017304003407,NGO,NGO,NO,,,,,,,,,,
227,0104017304003407,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
228,0104017304003407,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
229,0104017304003407,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
230,0104017304004102,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
231,0104017304004102,NGO,NGO,NO,,,,,,,,,,
232,0104017304004102,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
233,0104017304004102,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
234,0104017304004102,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
235,0104017304008601,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
236,0104017304008601,NGO,NGO,NO,,,,,,,,,,
237,0104017304008601,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
238,0104017304008601,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
239,0104017304008601,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
240,0104017304009201,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
241,0104017304009201,NGO,NGO,NO,,,,,,,,,,
242,0104017304009201,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
243,0104017304009201,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
244,0104017304009201,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
245,0104017304009401,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
246,0104017304009401,NGO,NGO,NO,,,,,,,,,,
247,0104017304009401,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
248,0104017304009401,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
249,0104017304009401,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
250,0104017304009402,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
251,0104017304009402,NGO,NGO,NO,,,,,,,,,,
252,0104017304009402,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
253,0104017304009402,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
254,0104017304009402,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
255,0104031001003001,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
256,0104031001003001,NGO,NGO,NO,,,,,,,,,,
257,0104031001003001,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
258,0104031001003001,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
259,0104031001003001,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
260,0104031001010201,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
261,0104031001010201,NGO,NGO,NO,,,,,,,,,,
262,0104031001010201,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
263,0104031001010201,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
264,0104031001010201,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
265,0104031001017402,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
266,0104031001017402,NGO,NGO,NO,,,,,,,,,,
267,0104031001017402,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
268,0104031001017402,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
269,0104031001017402,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
270,0104031001018001,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
271,0104031001018001,NGO,NGO,NO,,,,,,,,,,
272,0104031001018001,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
273,0104031001018001,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
274,0104031001018001,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
275,0104031001074501,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
276,0104031001074501,NGO,NGO,NO,,,,,,,,,,
277,0104031001074501,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
278,0104031001074501,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
279,0104031001074501,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
280,0104031001074502,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
281,0104031001074502,NGO,NGO,NO,,,,,,,,,,
282,0104031001074502,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
283,0104031001074502,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
284,0104031001074502,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
285,0104031001112801,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
286,0104031001112801,NGO,NGO,NO,,,,,,,,,,
